x	y
-1.970850685936917	-1687.1875
-1.9703621380914387	-1544.0625
-1.9698735902459603	302.09375
-1.969385042400482	303.6875
-1.9688964945550036	-724.28125
-1.9684079467095252	-1020.15625
-1.9679193988640469	-2337.03125
-1.9674308510185685	-2928.375
-1.9669423031730902	-1065.5
-1.9664537553276118	-2806.8125
-1.9659652074821334	-1470.3125
-1.9654766596366549	-664.78125
-1.9649881117911765	-2145.46875
-1.9644995639456981	-2226.375
-1.9640110161002198	-173.65625
-1.9635224682547414	220.8125
-1.963033920409263	92.59375
-1.9625453725637847	-434.375
-1.9620568247183063	-194.65625
-1.961568276872828	3127.84375
-1.9610797290273496	1064.65625
-1.9605911811818713	-689.875
-1.960102633336393	695.0625
-1.9596140854909145	-497.6875
-1.959125537645436	-551.71875
-1.9586369897999576	-1956.09375
-1.9581484419544792	-1443.40625
-1.9576598941090009	-999.125
-1.9571713462635225	-403.59375
-1.9566827984180442	648.5625
-1.9561942505725658	-179.21875
-1.9557057027270874	-2090.09375
-1.955217154881609	-2138.25
-1.9547286070361307	-228
-1.9542400591906524	467.1875
-1.953751511345174	-1985.25
-1.9532629634996954	-3514.375
-1.952774415654217	-1479.8125
-1.9522858678087387	-2018.65625
-1.9517973199632603	-1359.09375
-1.951308772117782	-541.625
-1.9508202242723036	-1919.78125
-1.9503316764268253	110.34375
-1.949843128581347	53.46875
-1.9493545807358685	150.125
-1.9488660328903902	-1569.3125
-1.9483774850449118	-1380.625
-1.9478889371994335	1129.59375
-1.9474003893539549	390.96875
-1.9469118415084765	-488.71875
-1.9464232936629982	-971.40625
-1.9459347458175198	-466.625
-1.9454461979720414	-983.46875
-1.944957650126563	-1955.03125
-1.9444691022810847	-2222.46875
-1.9439805544356064	-3165.4375
-1.943492006590128	-1895.25
-1.9430034587446496	-2594.625
-1.9425149108991713	305.03125
-1.942026363053693	1109.65625
-1.9415378152082146	496.5625
-1.941049267362736	588.65625
-1.9405607195172576	-1378.625
-1.9400721716717793	-459.03125
-1.939583623826301	-91.09375
-1.9390950759808225	-473.375
-1.9386065281353442	-1564.34375
-1.9381179802898658	274.03125
-1.9376294324443875	2796.71875
-1.937140884598909	1082.21875
-1.9366523367534307	17
-1.9361637889079524	-52.625
-1.935675241062474	-1246.78125
-1.9351866932169957	-677.15625
-1.934698145371517	-1387.125
-1.9342095975260387	-1399.28125
-1.9337210496805604	-1692.1875
-1.933232501835082	-1739.96875
-1.9327439539896036	1404.5625
-1.9322554061441253	504.40625
-1.931766858298647	-1194.46875
-1.9312783104531686	-187.5625
-1.9307897626076902	-437.21875
-1.9303012147622118	-87.25
-1.9298126669167333	-817.28125
-1.929324119071255	-1522.78125
-1.9288355712257765	-557.75
-1.9283470233802982	-1831.65625
-1.9278584755348198	-1203.15625
-1.9273699276893415	-2294.78125
-1.926881379843863	-2601.5625
-1.9263928319983847	-139.5625
-1.9259042841529062	751.78125
-1.9254157363074278	-2306.1875
-1.9249271884619494	-1761.28125
-1.924438640616471	-1992.71875
-1.9239500927709927	-1626.03125
-1.9234615449255144	694.1875
-1.922972997080036	-672.4375
-1.9224844492345576	-2542.53125
